종목명,일자,종가,외인,연기금,투신,사모,거래량,거래대금(억)
HD현대중공업,20260507,693000.0,-22710.303,10857.231,24717.231,3306.996,809696.0,5611.19328
HD현대중공업,20260506,648000.0,11722.32,-6883.704,-16217.496,-7528.464,649003.0,4205.53944
HD현대중공업,20260504,680000.0,-33232.96,113.56,-2029.8,1681.64,426626.0,2901.0568
HD현대중공업,20260430,685000.0,-7198.665,16428.355,3565.425,12647.155,408185.0,2796.06725
HD현대중공업,20260429,690000.0,-8045.4,31219.74,19937.55,-1943.04,648727.0,4476.2163
HD현대중공업,20260428,667000.0,45353.332,-2772.052,9626.811,-8610.97,422174.0,2815.90058
HD현대중공업,20260427,673000.0,-48132.287,11078.926,8264.44,-4586.495,529913.0,3566.31449
HD현대중공업,20260424,671000.0,9571.815,15822.851,22969.672,3107.401,597616.0,4010.00336
HD현대중공업,20260423,641000.0,-21783.744,18075.559,12527.704,8828.493,907417.0,5816.54297
HD현대중공업,20260422,641000.0,-66260.17,51579.988,41303.476,15292.978,1396507.0,8951.60987
HD현대중공업,20260421,576000.0,-103756.032,57898.944,14187.456,9387.648,768569.0,4426.95744
HD현대중공업,20260420,524000.0,-79426.348,26438.944,11784.76,18225.244,354254.0,1856.29096
HD현대중공업,20260417,514000.0,-64385.696,31674.736,9474.048,4329.936,513950.0,2641.703
HD현대중공업,20260416,493500.0,-37266.159,17501.9775,5363.8515,2277.009,377091.0,1860.944085
HD현대중공업,20260415,474500.0,-52819.442,-1896.5765,-3323.398,-2194.5625,315360.0,1496.3832
HD현대중공업,20260414,479000.0,12558.422,-2255.611,468.462,1514.598,240291.0,1150.99389
HD현대중공업,20260413,463000.0,-6450.053,740.8,-3227.573,-3027.557,238785.0,1105.57455
HD현대중공업,20260410,475000.0,7665.075,-768.075,-1128.6,-4492.55,204629.0,971.98775
HD현대중공업,20260409,470500.0,-23208.824,-4759.1075,-1836.832,-10966.414,500179.0,2353.342195
HD현대중공업,20260408,484500.0,-44011.4955,-6297.0465,-1766.0025,1421.0385,366294.0,1774.69443
HD현대중공업,20260407,470000.0,4170.78,1537.37,1839.58,288.58,220132.0,1034.6204
HD현대중공업,20260406,471000.0,-730.521,2786.436,534.114,-1795.923,236776.0,1115.21496
HD현대중공업,20260403,479500.0,-84524.342,28698.5545,20572.468,34594.4865,743866.0,3566.83747
HD현대중공업,20260402,439000.0,-35855.764,-3807.886,6216.679,831.466,662311.0,2907.54529
HD현대중공업,20260401,451500.0,-148319.1045,-24404.0265,-3535.6965,-6436.584,1929070.0,8709.75105
HD현대중공업,20260331,465000.0,-23151.885,3241.05,-5594.415,1152.27,285931.0,1329.57915
HD현대중공업,20260330,480000.0,-2651.04,-2570.4,376.8,2376.96,226431.0,1086.8688
삼성전기,20260512,958000.0,-113537.37,-18511.434,389418.378,159671.776,2172062.0,20808.35396
삼성전기,20260511,900000.0,3108.6,-19198.8,-7182.0,11604.6,949645.0,8546.805
삼성전기,20260508,914000.0,-58532.56,-17485.734,-4985.87,25223.658,523357.0,4783.48298
삼성전기,20260507,917000.0,-70871.262,-10521.658,-9755.963,-16582.111,689914.0,6326.51138
삼성전기,20260506,912000.0,-262227.36,-1544.016,-6850.944,-25897.152,1216412.0,11093.67744
삼성전기,20260504,918000.0,90741.546,-15790.518,15861.204,8597.988,866674.0,7956.06732
삼성전기,20260430,832000.0,13577.408,9466.496,-24811.904,-19662.656,906217.0,7539.72544
삼성전기,20260429,827000.0,-60467.759,-19206.248,-2702.636,111.645,538558.0,4453.87466
