종목명,종목코드,AI수급점수,매수후보,진입유형,스윙우선순위,기관동행점수,수급품질점수,주도주점수,수급흡수율,수급지속일수,종목체급,전략슬리브,거래대금활력,20일평균거래대금(억),진입코멘트,매도점검,테마,정배열,추세품질점수,MA5,MA10,MA20,순위,날짜
유진로봇,56080.0,55.0,관찰,돌파,52.96,3.03,12.0,53.0,-0.0686,1,중형,수급스윙,1.84,265.7,거래량 동반 돌파,보유/관찰,기계,True,100.0,27030.0,26740.0,26325.0,23,2026-05-15
파두,440110.0,44.0,관찰,과열주의,52.92,22.85,44.03,62.36,0.2812,4,대형,관찰,1.43,1133.9,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체와반도체장비,True,100.0,99760.0,91320.0,79785.0,24,2026-05-15
HL만도,204320.0,48.0,신규후보,눌림목,75.21,25.51,58.8,85.51,0.5444,4,중형,수급스윙,1.86,410.1,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,자동차부품,True,100.0,61320.0,60120.0,57560.0,1,2026-05-18
삼아알미늄,6110.0,62.0,관찰,과열주의,74.62,35.0,55.15,68.2,0.6902,4,중형,관찰,1.08,396.0,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,비철금속,True,100.0,85040.0,78050.0,71955.0,2,2026-05-18
달바글로벌,483650.0,44.0,관찰,관찰,72.75,35.0,64.29,78.0,0.9523,5,중형,관찰,1.8,593.1,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,화장품,True,100.0,244500.0,230900.0,226200.0,3,2026-05-18
티엘비,356860.0,57.0,관찰,관찰,72.53,30.55,55.93,53.16,0.8545,4,중형,관찰,1.1,229.7,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행,보유/관찰,PCB;반도체,True,100.0,102680.0,99790.0,90945.0,4,2026-05-18
심텍,222800.0,52.0,신규후보,눌림목,66.25,12.43,23.12,84.54,0.0814,3,중형,수급스윙,0.98,771.7,대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,수급훼손,PCB;반도체,True,100.0,107240.0,105460.0,94875.0,5,2026-05-18
삼양식품,3230.0,31.0,신규후보,주도눌림,65.54,23.73,60.36,93.04,0.9661,4,대형,주도대형,1.56,870.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,식품,True,100.0,1375000.0,1342800.0,1340500.0,6,2026-05-18
한국콜마,161890.0,39.0,관찰,눌림목,64.86,23.78,53.75,62.7,0.4904,4,중형,수급스윙,1.08,265.1,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,화장품,True,100.0,97520.0,94360.0,91470.0,7,2026-05-18
스피어,347700.0,43.0,관찰,돌파,63.67,19.19,36.59,77.62,0.2154,3,중형,수급스윙,1.43,536.3,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 거래량 동반 돌파,보유/관찰,우주항공과국방,True,100.0,43860.0,43220.0,42997.5,8,2026-05-18
테스,95610.0,56.0,관찰,과열주의,62.74,27.13,64.72,57.49,1.5527,5,중형,관찰,1.62,386.3,거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,수급훼손,반도체장비;반도체,True,100.0,117840.0,105290.0,96905.0,9,2026-05-18
해성디에스,195870.0,36.0,관찰,관찰,62.6,29.58,38.74,72.35,0.2485,5,중형,관찰,0.89,306.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,리드프레임;반도체,True,100.0,85980.0,84630.0,78600.0,10,2026-05-18
현대차2우B,5387.0,38.0,관찰,눌림목,61.66,15.25,58.37,91.63,0.5049,4,중형,수급스윙,1.45,692.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,자동차,True,100.0,276900.0,268450.0,260500.0,11,2026-05-18
제주반도체,80220.0,64.0,관찰,과열주의,61.18,19.58,40.06,58.87,0.1504,5,대형,관찰,1.68,3507.1,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체;팹리스,True,100.0,72920.0,64570.0,57240.0,12,2026-05-18
LG씨엔에스,64400.0,47.0,관찰,과열주의,60.92,28.06,36.83,73.8,0.2832,2,대형,관찰,3.01,1336.2,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,IT서비스,True,100.0,80100.0,74260.0,70495.0,13,2026-05-18
코나아이,52400.0,40.0,관찰,눌림목,60.84,24.67,52.15,54.17,0.913,4,소형,수급스윙,1.82,123.4,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 20일선 부근 눌림,보유/관찰,IT서비스,True,100.0,62560.0,60410.0,60155.0,14,2026-05-18
레인보우로보틱스,277810.0,48.0,관찰,주도눌림,59.95,6.14,16.0,89.96,-0.1913,2,대형,주도대형,1.53,1928.8,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,보유/관찰,기계,True,100.0,826000.0,786300.0,708000.0,15,2026-05-18
현대제철,4020.0,29.0,관찰,눌림목,59.04,18.62,55.51,89.98,0.7226,3,중형,수급스윙,1.44,688.8,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,철강,True,100.0,44280.0,43555.0,42665.0,16,2026-05-18
한화생명,88350.0,44.0,관찰,과열주의,57.92,24.65,63.01,84.05,0.6332,5,중형,관찰,2.37,501.7,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,생명보험,True,100.0,5275.0,5108.0,5010.0,17,2026-05-18
TIME 미국나스닥100액티브,426030.0,46.0,관찰,관찰,57.57,15.19,29.53,81.11,0.1698,2,중형,관찰,1.25,671.6,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행,보유/관찰,분류안됨,True,100.0,53825.0,52323.0,48830.25,18,2026-05-18
롯데쇼핑,23530.0,35.0,관찰,과열주의,56.87,35.0,64.64,55.13,1.4267,5,중형,관찰,1.45,239.7,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,백화점과일반상점,True,100.0,163180.0,150540.0,138695.0,19,2026-05-18
현대차우,5385.0,35.0,관찰,눌림목,55.96,11.54,49.01,86.59,0.3497,4,중형,수급스윙,1.66,386.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,자동차,True,100.0,276100.0,268050.0,261050.0,20,2026-05-18
삼성물산,28260.0,24.0,관찰,주도돌파,53.93,17.08,36.31,90.55,0.1524,4,대형,주도대형,1.28,2526.7,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,보유/관찰,복합기업,True,100.0,420300.0,407650.0,357150.0,21,2026-05-18
두산테스나,131970.0,50.0,관찰,과열주의,52.84,18.07,51.8,65.5,0.3927,4,중형,관찰,1.46,642.7,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,수급훼손,반도체와반도체장비,True,100.0,173620.0,157620.0,139785.0,22,2026-05-18
현대백화점,69960.0,31.0,관찰,눌림목,52.21,19.44,55.22,60.68,0.6912,5,중형,수급스윙,1.4,156.1,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,백화점과일반상점,True,100.0,116020.0,113660.0,107000.0,23,2026-05-18
HD현대에너지솔루션,322000.0,48.0,관찰,과열주의,50.97,13.08,36.78,87.55,0.1577,4,대형,관찰,1.25,2202.4,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,수급훼손,태양광;신재생,True,100.0,214360.0,209490.0,198700.0,24,2026-05-18
삼아알미늄,6110.0,62.0,관찰,과열주의,73.25,35.0,59.38,59.62,0.7727,5,중형,관찰,1.06,405.5,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,비철금속,True,100.0,87360.0,80460.0,73850.0,1,2026-05-19
티엘비,356860.0,57.0,신규후보,눌림목,72.17,21.05,55.7,57.58,0.8389,4,중형,수급스윙,0.98,221.2,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 20일선 부근 눌림,보유/관찰,PCB;반도체,True,100.0,102420.0,100110.0,91625.0,2,2026-05-19
삼양식품,3230.0,38.0,관찰,주도눌림,71.91,26.43,60.27,93.15,1.1446,4,대형,주도대형,1.52,882.5,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,식품,True,100.0,1387000.0,1350300.0,1341250.0,3,2026-05-19
해성디에스,195870.0,40.0,신규후보,눌림목,65.93,21.99,24.4,75.21,0.095,4,중형,수급스윙,0.8,310.4,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,리드프레임;반도체,True,100.0,85920.0,84780.0,79625.0,4,2026-05-19
한국콜마,161890.0,40.0,관찰,눌림목,65.23,23.74,47.32,61.58,0.3827,4,중형,수급스윙,0.92,258.4,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,화장품,True,100.0,95860.0,94670.0,91720.0,5,2026-05-19
현대해상,1450.0,57.0,관찰,과열주의,65.21,32.64,64.92,40.02,2.6935,5,중형,관찰,2.59,263.3,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,손해보험,True,100.0,34710.0,32675.0,31655.0,6,2026-05-19
테스,95610.0,55.0,관찰,과열주의,65.16,27.89,63.95,72.18,0.9282,5,중형,관찰,1.28,386.4,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,수급훼손,반도체장비;반도체,True,100.0,118600.0,107860.0,98125.0,7,2026-05-19
스피어,347700.0,43.0,관찰,돌파,59.87,15.21,16.0,75.04,-0.0433,2,중형,수급스윙,1.52,576.5,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 거래량 동반 돌파,보유/관찰,우주항공과국방,True,100.0,44610.0,43765.0,43040.0,8,2026-05-19
한화생명,88350.0,45.0,관찰,과열주의,58.91,26.37,62.73,77.49,0.5538,5,중형,관찰,2.34,567.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,생명보험,True,100.0,5466.0,5184.0,5055.0,9,2026-05-19
코나아이,52400.0,43.0,관찰,관찰,58.37,27.79,56.43,55.05,1.2686,5,소형,관찰,1.76,123.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행,보유/관찰,IT서비스,True,100.0,63360.0,61210.0,59975.0,10,2026-05-19
KIWOOM 200TR,294400.0,47.0,관찰,눌림목,58.2,7.6,20.0,78.0,-0.1395,3,중형,수급스윙,1.26,403.8,대형 주도주 조건 · 20일선 부근 눌림,보유/관찰,분류안됨,True,100.0,156213.0,154766.5,142199.0,11,2026-05-19
두산테스나,131970.0,50.0,관찰,과열주의,57.06,20.92,62.81,76.71,0.6035,5,중형,관찰,1.36,622.2,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,수급훼손,반도체와반도체장비,True,100.0,177140.0,160650.0,142315.0,12,2026-05-19
롯데쇼핑,23530.0,35.0,관찰,과열주의,56.8,35.0,60.35,54.68,1.2026,5,중형,관찰,1.25,243.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,백화점과일반상점,True,100.0,165060.0,152800.0,140685.0,13,2026-05-19
제주반도체,80220.0,55.0,관찰,과열주의,56.31,18.99,40.51,64.18,0.1529,5,대형,관찰,1.74,3711.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체;팹리스,True,100.0,81060.0,68490.0,59870.0,14,2026-05-19
파두,440110.0,45.0,관찰,과열주의,52.23,21.72,24.5,60.42,0.0511,3,대형,관찰,1.27,1268.0,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체와반도체장비,True,100.0,102080.0,96060.0,84295.0,15,2026-05-19
삼성생명,32830.0,22.0,관찰,주도돌파,51.67,16.99,39.56,84.16,0.2598,4,대형,주도대형,1.18,1382.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,보유/관찰,생명보험,True,100.0,314300.0,306350.0,279450.0,16,2026-05-19
현대모비스,12330.0,35.0,관찰,주도눌림,51.45,4.57,12.0,92.3,-0.8003,1,대형,주도대형,1.94,3672.3,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,보유/관찰,자동차부품,True,100.0,604800.0,550800.0,493575.0,17,2026-05-19
현대차,5380.0,35.0,신규후보,주도눌림,50.91,3.71,12.0,93.47,-0.3706,1,대형,주도대형,1.6,13403.6,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,보유/관찰,자동차,True,100.0,677800.0,641600.0,589000.0,18,2026-05-19
하나마이크론,67310.0,45.0,관찰,과열주의,50.7,15.47,43.81,84.07,0.3286,3,대형,관찰,1.7,1393.2,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,수급훼손,반도체와반도체장비,True,100.0,47550.0,45105.0,42420.0,19,2026-05-19
TIME 미국나스닥100액티브,426030.0,45.0,관찰,관찰,50.0,7.53,8.0,78.15,-0.0533,1,중형,관찰,1.08,685.4,연기금 10일 순매수 · 대형 주도주 조건,보유/관찰,분류안됨,True,100.0,53206.0,52508.5,49182.75,20,2026-05-19
LG씨엔에스,64400.0,47.0,관찰,과열주의,49.83,12.36,15.77,87.9,0.0429,1,대형,관찰,2.73,1401.5,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,IT서비스,True,100.0,80460.0,75150.0,70920.0,21,2026-05-19
삼성화재,810.0,21.0,관찰,주도돌파,49.73,15.81,40.68,81.92,0.2758,4,대형,주도대형,1.08,992.7,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,보유/관찰,손해보험,True,100.0,539000.0,517450.0,492050.0,22,2026-05-19
