거래ID,진입일,종목명,종목코드,진입순위,AI수급점수,진입유형,스윙우선순위,추천소스,진입코멘트,보유일수,청산방식,청산사유,진입가,청산일,청산가,수익률,상태
20251210_삼성물산_D10,2025-12-10,삼성물산,28260.0,1,27.0,주도눌림,52.43,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,247500.0,2025-12-24,240000.0,-3.0303,closed
20251210_SK_D10,2025-12-10,SK,34730.0,2,18.0,주도눌림,44.59,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,265000.0,2025-12-24,247000.0,-6.7925,closed
20251210_삼성전자_D10,2025-12-10,삼성전자,5930.0,3,25.0,주도눌림,42.51,리플레이,대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,108000.0,2025-12-24,111100.0,2.8704,closed
20251210_삼성물산_D5,2025-12-10,삼성물산,28260.0,1,27.0,주도눌림,52.43,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,247500.0,2025-12-17,243000.0,-1.8182,closed
20251210_SK_D5,2025-12-10,SK,34730.0,2,18.0,주도눌림,44.59,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,265000.0,2025-12-17,255000.0,-3.7736,closed
20251210_삼성전자_D5,2025-12-10,삼성전자,5930.0,3,25.0,주도눌림,42.51,리플레이,대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,108000.0,2025-12-17,107900.0,-0.0926,closed
20251210_SK_SIGNAL,2025-12-10,SK,34730.0,2,18.0,주도눌림,44.59,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,4,시그널,손절,265000.0,2025-12-16,254000.0,-4.1509,closed
20251210_삼성전자_SIGNAL,2025-12-10,삼성전자,5930.0,3,25.0,주도눌림,42.51,리플레이,대형 주도주 조건 · 대형 주도주 눌림,4,시그널,손절,108000.0,2025-12-16,102800.0,-4.8148,closed
20251210_삼성물산_SIGNAL,2025-12-10,삼성물산,28260.0,1,27.0,주도눌림,52.43,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,시그널,수급훼손,247500.0,2025-12-17,243000.0,-1.8182,closed
20251211_삼성물산_D10,2025-12-11,삼성물산,28260.0,1,29.0,주도돌파,51.61,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,10,D+10,D+10,252000.0,2025-12-26,240500.0,-4.5635,closed
20251211_현대차_D10,2025-12-11,현대차,5380.0,2,29.0,주도눌림,49.13,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,295500.0,2025-12-26,286000.0,-3.2149,closed
20251211_HD한국조선해양_D10,2025-12-11,HD한국조선해양,9540.0,3,37.0,주도눌림,47.7,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,445500.0,2025-12-26,403000.0,-9.5398,closed
20251211_삼성물산_D5,2025-12-11,삼성물산,28260.0,1,29.0,주도돌파,51.61,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,5,D+5,D+5,252000.0,2025-12-18,239500.0,-4.9603,closed
20251211_현대차_D5,2025-12-11,현대차,5380.0,2,29.0,주도눌림,49.13,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,295500.0,2025-12-18,282500.0,-4.3993,closed
20251211_HD한국조선해양_D5,2025-12-11,HD한국조선해양,9540.0,3,37.0,주도눌림,47.7,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,445500.0,2025-12-18,409000.0,-8.193,closed
20251211_HD한국조선해양_SIGNAL,2025-12-11,HD한국조선해양,9540.0,3,37.0,주도눌림,47.7,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,3,시그널,손절,445500.0,2025-12-16,422500.0,-5.1627,closed
20251211_삼성물산_SIGNAL,2025-12-11,삼성물산,28260.0,1,29.0,주도돌파,51.61,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,5,시그널,손절,252000.0,2025-12-18,239500.0,-4.9603,closed
20251211_현대차_SIGNAL,2025-12-11,현대차,5380.0,2,29.0,주도눌림,49.13,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,시그널,손절,295500.0,2025-12-18,282500.0,-4.3993,closed
20251212_SK_D10,2025-12-12,SK,34730.0,1,31.0,주도눌림,53.41,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,267500.0,2025-12-29,253500.0,-5.2336,closed
20251212_POSCO홀딩스_D10,2025-12-12,POSCO홀딩스,5490.0,2,39.0,주도눌림,51.68,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,319500.0,2025-12-29,314000.0,-1.7214,closed
20251212_현대차_D10,2025-12-12,현대차,5380.0,3,21.0,주도돌파,42.69,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 돌파,10,D+10,D+10,301500.0,2025-12-29,293500.0,-2.6534,closed
20251212_SK_D5,2025-12-12,SK,34730.0,1,31.0,주도눌림,53.41,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,267500.0,2025-12-19,250000.0,-6.5421,closed
20251212_POSCO홀딩스_D5,2025-12-12,POSCO홀딩스,5490.0,2,39.0,주도눌림,51.68,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,319500.0,2025-12-19,302500.0,-5.3208,closed
20251212_현대차_D5,2025-12-12,현대차,5380.0,3,21.0,주도돌파,42.69,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 돌파,5,D+5,D+5,301500.0,2025-12-19,288500.0,-4.3118,closed
20251212_SK_SIGNAL,2025-12-12,SK,34730.0,1,31.0,주도눌림,53.41,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,3,시그널,손절,267500.0,2025-12-17,255000.0,-4.6729,closed
20251212_현대차_SIGNAL,2025-12-12,현대차,5380.0,3,21.0,주도돌파,42.69,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 돌파,3,시그널,손절,301500.0,2025-12-17,286000.0,-5.141,closed
20251212_POSCO홀딩스_SIGNAL,2025-12-12,POSCO홀딩스,5490.0,2,39.0,주도눌림,51.68,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,4,시그널,손절,319500.0,2025-12-18,303000.0,-5.1643,closed
20251215_셀트리온_D10,2025-12-15,셀트리온,68270.0,1,28.0,주도눌림,53.57,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,187800.0,2025-12-30,181000.0,-3.6209,closed
20251215_삼성물산_D10,2025-12-15,삼성물산,28260.0,2,27.0,주도눌림,52.74,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,246500.0,2025-12-30,239500.0,-2.8398,closed
20251215_삼성전자_D10,2025-12-15,삼성전자,5930.0,3,21.0,주도눌림,42.29,리플레이,대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,104800.0,2025-12-30,119900.0,14.4084,closed
20251215_셀트리온_D5,2025-12-15,셀트리온,68270.0,1,28.0,주도눌림,53.57,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,187800.0,2025-12-22,184600.0,-1.7039,closed
20251215_삼성물산_D5,2025-12-15,삼성물산,28260.0,2,27.0,주도눌림,52.74,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,246500.0,2025-12-22,244500.0,-0.8114,closed
20251215_삼성전자_D5,2025-12-15,삼성전자,5930.0,3,21.0,주도눌림,42.29,리플레이,대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,104800.0,2025-12-22,110500.0,5.4389,closed
20251215_셀트리온_SIGNAL,2025-12-15,셀트리온,68270.0,1,28.0,주도눌림,53.57,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,시그널,수급훼손,187800.0,2025-12-22,184600.0,-1.7039,closed
20251215_삼성물산_SIGNAL,2025-12-15,삼성물산,28260.0,2,27.0,주도눌림,52.74,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,시그널,수급훼손,246500.0,2025-12-22,244500.0,-0.8114,closed
20251215_삼성전자_SIGNAL,2025-12-15,삼성전자,5930.0,3,21.0,주도눌림,42.29,리플레이,대형 주도주 조건 · 대형 주도주 눌림,11,시그널,목표수익+,104800.0,2026-01-02,128500.0,22.6145,closed
20251216_현대모비스_D10,2025-12-16,현대모비스,12330.0,1,34.0,주도돌파,51.08,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,10,D+10,D+10,357000.0,2026-01-02,369000.0,3.3613,closed
20251216_삼성전자우_D10,2025-12-16,삼성전자우,5935.0,2,26.0,주도눌림,45.62,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,79800.0,2026-01-02,94400.0,18.2957,closed
20251216_기아_D10,2025-12-16,기아,0270.0,3,29.0,주도눌림,43.49,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,120800.0,2026-01-02,120600.0,-0.1656,closed
20251216_현대모비스_D5,2025-12-16,현대모비스,12330.0,1,34.0,주도돌파,51.08,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,5,D+5,D+5,357000.0,2025-12-23,363000.0,1.6807,closed
20251216_삼성전자우_D5,2025-12-16,삼성전자우,5935.0,2,26.0,주도눌림,45.62,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,79800.0,2025-12-23,85800.0,7.5188,closed
20251216_기아_D5,2025-12-16,기아,0270.0,3,29.0,주도눌림,43.49,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,120800.0,2025-12-23,120200.0,-0.4967,closed
20251216_기아_SIGNAL,2025-12-16,기아,0270.0,3,29.0,주도눌림,43.49,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,시그널,수급훼손,120800.0,2025-12-23,120200.0,-0.4967,closed
20251216_삼성전자우_SIGNAL,2025-12-16,삼성전자우,5935.0,2,26.0,주도눌림,45.62,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,시그널,목표수익+,79800.0,2026-01-02,94400.0,18.2957,closed
20251216_현대모비스_SIGNAL,2025-12-16,현대모비스,12330.0,1,34.0,주도돌파,51.08,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,17,시그널,목표수익+,357000.0,2026-01-13,451000.0,26.3305,closed
20251217_삼성전자우_D10,2025-12-17,삼성전자우,5935.0,1,36.0,주도눌림,51.41,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,83900.0,2026-01-05,102000.0,21.5733,closed
20251217_현대모비스_D10,2025-12-17,현대모비스,12330.0,2,26.0,주도돌파,46.94,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,10,D+10,D+10,362000.0,2026-01-05,372000.0,2.7624,closed
