종목명,일자,종가,외인,연기금,투신,사모
삼성생명,20260226,239000.0,-85751.0,5942.0,16185.0,3851.0
삼성생명,20260225,246000.0,-10195.0,-1045.0,-2463.0,88.0
삼성생명,20260224,224000.0,-11977.0,-10605.0,3757.0,-3955.0
신한지주,20260324,90000.0,-31730.0,24.0,-1433.0,-1297.0
신한지주,20260323,89900.0,16887.0,86.0,-1106.0,-1540.0
신한지주,20260320,97900.0,212.0,-57.0,-147.0,-85.0
신한지주,20260319,96500.0,16054.0,-34.0,-582.0,-409.0
신한지주,20260318,95000.0,-17958.0,-1959.0,-1635.0,-341.0
신한지주,20260317,91200.0,3497.0,-5702.0,-3607.0,-1395.0
신한지주,20260316,90000.0,-2387.0,2002.0,-331.0,-1254.0
신한지주,20260313,90800.0,-6259.0,-327.0,33730.0,-420.0
신한지주,20260312,91900.0,-24450.0,-378.0,-1290.0,8.0
신한지주,20260311,91100.0,-6582.0,-2130.0,372.0,762.0
신한지주,20260310,89200.0,-4500.0,-2762.0,-5692.0,-231.0
신한지주,20260309,88500.0,12072.0,-1871.0,1535.0,-121.0
신한지주,20260306,91800.0,3949.0,-1492.0,-1063.0,-198.0
신한지주,20260305,92900.0,26133.0,-2507.0,-4109.0,-1261.0
신한지주,20260304,88800.0,36339.0,-3132.0,-1249.0,-984.0
신한지주,20260303,96700.0,25763.0,-3522.0,-1726.0,276.0
신한지주,20260227,96900.0,6018.0,-11161.0,-5907.0,-3420.0
신한지주,20260226,99900.0,14619.0,-15847.0,-7963.0,-605.0
신한지주,20260225,99500.0,-4725.0,-10779.0,-19741.0,-793.0
신한지주,20260224,100900.0,-24397.0,-5422.0,-3531.0,-1181.0
한화오션,20260324,122300.0,-3011.0,5571.0,-897.0,-1536.0
한화오션,20260323,118900.0,-11730.0,-7639.0,-3345.0,-884.0
한화오션,20260320,129100.0,-6962.0,9117.0,-230.0,179.0
한화오션,20260319,130000.0,4317.0,-905.0,160.0,-1429.0
한화오션,20260318,132900.0,-14935.0,-6651.0,253.0,-3588.0
한화오션,20260317,132700.0,6561.0,3530.0,1009.0,116.0
한화오션,20260316,131900.0,-17466.0,-5765.0,-2584.0,-6597.0
한화오션,20260313,136900.0,-4564.0,1161.0,846.0,-2779.0
한화오션,20260312,136700.0,35450.0,-919.0,-1248.0,3959.0
한화오션,20260311,133600.0,98481.0,5810.0,4968.0,8690.0
한화오션,20260310,124400.0,-27564.0,1294.0,-659.0,-5693.0
한화오션,20260309,123700.0,-3181.0,-2427.0,1400.0,-1500.0
한화오션,20260306,126700.0,7923.0,3853.0,-1943.0,-657.0
한화오션,20260305,122100.0,-1793.0,-3508.0,-1718.0,-144.0
한화오션,20260304,108500.0,-14347.0,-3208.0,-4247.0,-2715.0
한화오션,20260303,135400.0,19942.0,11219.0,8765.0,11321.0
한화오션,20260227,141200.0,4478.0,-3056.0,-517.0,-3007.0
한화오션,20260226,140000.0,-10378.0,-2935.0,-4851.0,-875.0
한화오션,20260225,142000.0,-15151.0,-3972.0,-5207.0,1189.0
한화오션,20260224,143100.0,-26685.0,-8257.0,-2174.0,-4250.0
현대모비스,20260324,392500.0,-3833.0,6549.0,-241.0,-120.0
현대모비스,20260323,381000.0,39497.0,-8265.0,-1427.0,-1412.0
현대모비스,20260320,400500.0,-32166.0,-4751.0,-2350.0,-11818.0
현대모비스,20260319,413000.0,186.0,-4728.0,-128.0,-6178.0
현대모비스,20260318,430000.0,-22535.0,7458.0,944.0,793.0
현대모비스,20260317,412500.0,-2438.0,1044.0,-1552.0,489.0
현대모비스,20260316,401000.0,3221.0,-5027.0,-1657.0,-902.0
현대모비스,20260313,404000.0,-13047.0,-3664.0,-3523.0,-854.0
현대모비스,20260312,414500.0,-35386.0,6104.0,-4293.0,-347.0
현대모비스,20260311,423000.0,-37088.0,156.0,944.0,3272.0
현대모비스,20260310,423000.0,-27835.0,3797.0,-3089.0,8040.0
현대모비스,20260309,409000.0,6498.0,-2523.0,2154.0,-7670.0
현대모비스,20260306,444000.0,9056.0,-7367.0,773.0,-11390.0
현대모비스,20260305,432000.0,4213.0,-143.0,-5275.0,-8010.0
현대모비스,20260304,399000.0,15623.0,-4823.0,-1027.0,-1468.0
현대모비스,20260303,468500.0,-2435.0,-1004.0,3244.0,-3452.0
현대모비스,20260227,517000.0,-105008.0,12663.0,8590.0,23874.0
현대모비스,20260226,529000.0,62670.0,3266.0,15341.0,14290.0
현대모비스,20260225,469500.0,-33056.0,13405.0,5681.0,3705.0
현대모비스,20260224,453000.0,4094.0,-4098.0,8336.0,293.0
미래에셋증권,20260324,61100.0,-14657.0,-17432.0,-10983.0,-1734.0
미래에셋증권,20260323,61900.0,-53328.0,-2655.0,-3777.0,-3042.0
미래에셋증권,20260320,67700.0,3144.0,1723.0,2120.0,564.0
미래에셋증권,20260319,66700.0,-43472.0,-7655.0,-1318.0,-987.0
미래에셋증권,20260318,69900.0,-20692.0,-2355.0,-10871.0,543.0
미래에셋증권,20260317,69100.0,-43223.0,-2931.0,-9863.0,3366.0
미래에셋증권,20260316,70900.0,-28925.0,1225.0,-1688.0,1530.0
미래에셋증권,20260313,69199.0,-55428.0,4566.0,716.0,-121.0
미래에셋증권,20260312,70096.0,-79409.0,-2131.0,-5450.0,-2661.0
