종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),추세상승,음봉매집률,시가총액,PER,ROE
현대무벡스,319400,KOSDAQ,기계,기계,35,37,45.89,-1.65,상승장 (보수적 반영),30500,2.69,0.16299591992934942,0.0,0.18733845451869297,0.03371637032675891,1,0,106.0,8.9,65.5,96.0,True,0.2525,33970,308.08,6.79
파두,440110,KOSDAQ,반도체와반도체장비,반도체와반도체장비,35,37,45.51,-1.79,상승장 (보수적 반영),68100,-0.44,1.0908051186182222,0.27974605436790706,0.49568545643822765,0.7859544617459899,1,0,120.9,7.2,68.2,97.0,True,0.0,34101,-44.51,-131.08
GS건설,006360,KOSPI,건설,건설,35,35,50.31,0.13,상승장 (보수적 반영),40750,-1.93,-2.62126136233297,1.5061502394333888,-0.2596220880885473,-0.37021284624648737,0,0,116.7,23.1,69.2,49.8,True,0.0,34874,37.28,2.03
현대건설,000720,KOSPI,건설,건설,35,35,50.31,0.13,상승장 (보수적 반영),173000,-1.37,-0.24160836616574527,-0.39355895403462327,-0.34560289444314674,-0.2832158213293883,0,0,102.8,7.4,60.3,52.0,True,0.0,192645,52.11,4.58
두산테스나,131970,KOSDAQ,반도체와반도체장비,반도체와반도체장비,35,35,50.31,0.13,상승장 (보수적 반영),122400,-2.63,0.6141320032125798,-0.69264638796128,-1.0151624889039186,-0.18933665299911231,0,0,120.2,12.4,65.1,99.6,True,0.0,23657,1569.23,0.35
씨아이에스,222080,KOSDAQ,전기제품,전기제품,35,35,50.31,0.13,상승장 (보수적 반영),16490,2.42,-1.8038618189614843,-0.04932799781693435,0.031405344612505846,0.027131345704038672,0,0,127.3,114.1,73.2,52.8,True,0.0,12826,44.45,5.83
티에스이,131290,KOSDAQ,반도체와반도체장비,반도체와반도체장비,35,32,57.51,3.01,상승장 (보수적 반영),169400,2.23,-1.3378346515103,0.46545987298537733,1.0551223129469527,0.36148822713203116,0,4,127.6,3.8,74.6,37.2,True,0.0531,18738,49.02,10.42
한온시스템,018880,KOSPI,자동차부품,자동차부품,35,38,42.29,-3.09,상승장 (보수적 반영),4230,0.0,-0.6124767836493055,0.24332931054341067,-0.2600594651125291,-0.05404334016723872,0,2,106.3,6.9,62.7,43.2,True,0.0,43411,-16.46,-6.0
휴림로봇,090710,KOSDAQ,기계,기계,35,38,41.29,-3.49,상승장 (보수적 반영),13250,17.05,1.7401163893100833,0.0,0.004755203436947182,-0.006916754485721506,3,0,118.0,50.4,59.9,1191.6,True,0.4694,15828,-89.53,-13.42
포스코DX,022100,KOSPI,IT서비스,IT서비스,35,33,53.89,1.55,상승장 (보수적 반영),34800,0.72,-0.34307678139411807,0.04108274079534286,-0.01755902321010055,-0.0013577861571028957,1,5,107.7,1.8,66.9,49.2,True,0.0,52908,101.46,9.53
대우건설,047040,KOSPI,건설,건설,34,36,46.11,-1.55,상승장 (보수적 반영),32800,-1.35,-0.41543708112599975,-0.24989696634465566,-0.28834516887029044,-0.0677254735936132,0,1,135.8,46.4,76.3,39.4,True,0.0,134778,-14.94,-23.89
SK이노베이션,096770,KOSPI,석유와가스,석유와가스,34,36,44.29,-2.29,상승장 (보수적 반영),132900,-0.23,0.7482165904811925,0.2005984933525021,0.0919664611810158,0.07879722127021288,12,2,107.8,1.9,72.5,71.2,True,0.2803,224671,-6.31,-14.42
